week,date,player,team,actual,prediction,opening_line,closing_line,line_movement,bet_type,edge,odds,won,profit,clv,used_opening
2,2025-10-22,Jalen Johnson,Atlanta Hawks,22,14.000897407531738,17.5,17.5,0.0,UNDER,3.4991025924682617,-108.0,False,-100.0,-0.0,True
2,2025-10-22,Paolo Banchero,Orlando Magic,24,26.459510803222656,24.5,23.5,-1.0,OVER,1.9595108032226562,-116.0,True,86.20689655172413,-1.0,True
2,2025-10-22,Tyus Jones,Orlando Magic,0,7.382351398468018,6.5,6.5,0.0,OVER,0.8823513984680176,-130.0,False,-100.0,0.0,True
2,2025-10-22,Onyeka Okongwu,Atlanta Hawks,18,13.7693452835083,12.5,11.5,-1.0,OVER,1.2693452835083008,-111.0,True,90.09009009009009,-1.0,True
2,2025-10-22,Wendell Carter Jr.,Orlando Magic,9,6.991408348083496,9.5,9.5,0.0,UNDER,2.508591651916504,-118.0,True,84.7457627118644,-0.0,True
2,2025-10-22,Franz Wagner,Orlando Magic,24,21.335739135742188,20.5,20.5,0.0,OVER,0.8357391357421875,-118.0,True,84.7457627118644,0.0,True
2,2025-10-22,Mikal Bridges,New York Knicks,16,13.931655883789062,16.5,15.5,-1.0,UNDER,2.5683441162109375,-102.0,False,-100.0,1.0,True
2,2025-10-22,Gradey Dick,Toronto Raptors,21,6.968860149383545,8.5,8.5,0.0,UNDER,1.531139850616455,-124.0,False,-100.0,-0.0,True
2,2025-10-22,Kel'el Ware,Miami Heat,7,8.618298530578613,9.5,9.5,0.0,UNDER,0.8817014694213867,-104.0,True,96.15384615384616,-0.0,True
2,2025-10-22,Scottie Barnes,Toronto Raptors,22,11.717838287353516,18.5,17.5,-1.0,UNDER,6.782161712646484,-118.0,False,-100.0,1.0,True
2,2025-10-22,Jordan Clarkson,New York Knicks,4,14.123090744018555,12.5,10.5,-2.0,OVER,1.6230907440185547,-128.0,False,-100.0,-2.0,True
2,2025-10-22,Anthony Black,Orlando Magic,7,7.152204990386963,7.5,7.5,0.0,UNDER,0.3477950096130371,-129.0,True,77.51937984496125,-0.0,True
2,2025-10-22,Neemias Queta,Boston Celtics,17,3.403366804122925,7.5,7.5,0.0,UNDER,4.096633195877075,-117.0,False,-100.0,-0.0,True
2,2025-10-22,Tre Mann,Charlotte Hornets,12,10.293405532836914,8.5,8.5,0.0,OVER,1.793405532836914,-106.0,True,94.33962264150944,0.0,True
2,2025-10-22,Joel Embiid,Philadelphia 76ers,4,21.980274200439453,24.5,23.5,-1.0,UNDER,2.519725799560547,-112.0,True,89.28571428571429,1.0,True
2,2025-10-22,Collin Sexton,Charlotte Hornets,15,15.259132385253906,14.5,13.5,-1.0,OVER,0.7591323852539062,101.0,True,101.0,-1.0,True
2,2025-10-22,Tyrese Maxey,Philadelphia 76ers,40,17.176347732543945,24.5,25.5,1.0,UNDER,7.323652267456055,-104.0,False,-100.0,-1.0,True
2,2025-10-22,LaMelo Ball,Charlotte Hornets,20,19.147668838500977,22.5,22.5,0.0,UNDER,3.3523311614990234,-113.0,True,88.49557522123894,-0.0,True
2,2025-10-22,Noah Clowney,Brooklyn Nets,5,6.3562846183776855,,8.5,,UNDER,2.1437153816223145,-134.0,True,74.6268656716418,,False
2,2025-10-22,Michael Porter Jr.,Brooklyn Nets,12,12.590385437011719,19.5,19.5,0.0,UNDER,6.909614562988281,-104.0,True,96.15384615384616,-0.0,True
2,2025-10-22,Karl-Anthony Towns,New York Knicks,19,21.76517677307129,,19.5,,OVER,2.265176773071289,-115.0,False,-100.0,,False
2,2025-10-22,Guerschon Yabusele,New York Knicks,0,8.888592720031738,,7.5,,OVER,1.3885927200317383,102.0,False,-100.0,,False
2,2025-10-22,Derrick White,Boston Celtics,25,12.596746444702148,19.5,19.5,0.0,UNDER,6.903253555297852,-116.0,False,-100.0,-0.0,True
2,2025-10-22,Ziaire Williams,Brooklyn Nets,1,7.253308296203613,7.5,7.5,0.0,UNDER,0.24669170379638672,100.0,True,100.0,-0.0,True
2,2025-10-22,Nickeil Alexander-Walker,Atlanta Hawks,10,8.426621437072754,8.5,8.5,0.0,UNDER,0.0733785629272461,-108.0,False,-100.0,-0.0,True
2,2025-10-22,Ariel Hukporti,New York Knicks,2,2.0916523933410645,,4.5,,UNDER,2.4083476066589355,-119.0,True,84.03361344537815,,False
2,2025-10-22,Anfernee Simons,Boston Celtics,13,18.48704719543457,16.5,15.5,-1.0,OVER,1.9870471954345703,-114.0,False,-100.0,-1.0,True
2,2025-10-22,Dean Wade,Cleveland Cavaliers,10,3.1605098247528076,5.5,7.5,2.0,UNDER,2.3394901752471924,-115.0,False,-100.0,-2.0,True
2,2025-10-22,Brandon Miller,Charlotte Hornets,25,19.088903427124023,18.5,18.5,0.0,OVER,0.5889034271240234,-119.0,True,84.03361344537815,0.0,True
2,2025-10-22,Quentin Grimes,Philadelphia 76ers,10,21.448749542236328,13.5,12.5,-1.0,OVER,7.948749542236328,-105.0,False,-100.0,-1.0,True
2,2025-10-22,Jalen Suggs,Orlando Magic,14,11.658405303955078,8.5,9.5,1.0,OVER,3.158405303955078,-123.0,True,81.30081300813008,1.0,True
2,2025-10-22,Davion Mitchell,Miami Heat,16,7.194825649261475,8.5,8.5,0.0,UNDER,1.3051743507385254,-112.0,False,-100.0,-0.0,True
2,2025-10-22,Chris Boucher,Boston Celtics,6,3.766946792602539,8.5,8.5,0.0,UNDER,4.733053207397461,-109.0,True,91.74311926605505,-0.0,True
2,2025-10-22,Bam Adebayo,Miami Heat,15,18.596372604370117,18.5,18.5,0.0,OVER,0.09637260437011719,-108.0,False,-100.0,0.0,True
2,2025-10-22,Zaccharie Risacher,Atlanta Hawks,16,9.537286758422852,12.5,12.5,0.0,UNDER,2.9627132415771484,101.0,False,-100.0,-0.0,True
2,2025-10-22,Jaylon Tyson,Cleveland Cavaliers,5,4.896685600280762,8.5,8.5,0.0,UNDER,3.6033143997192383,-121.0,True,82.64462809917356,-0.0,True
2,2025-10-22,Adem Bona,Philadelphia 76ers,0,9.548077583312988,6.5,6.5,0.0,OVER,3.0480775833129883,-106.0,False,-100.0,0.0,True
2,2025-10-22,Brandon Ingram,Toronto Raptors,16,18.425748825073242,18.5,19.5,1.0,UNDER,0.07425117492675781,-102.0,True,98.0392156862745,-1.0,True
2,2025-10-22,Jaylen Brown,Boston Celtics,25,13.499062538146973,23.5,24.5,1.0,UNDER,10.000937461853027,-104.0,False,-100.0,-1.0,True
2,2025-10-22,Jakob Poeltl,Toronto Raptors,14,10.81418514251709,11.5,11.5,0.0,UNDER,0.6858148574829102,-123.0,False,-100.0,-0.0,True
2,2025-10-22,Cam Thomas,Brooklyn Nets,15,21.116268157958984,24.5,23.5,-1.0,UNDER,3.3837318420410156,-121.0,True,82.64462809917356,1.0,True
2,2025-10-22,Immanuel Quickley,Toronto Raptors,13,12.373059272766113,16.5,16.5,0.0,UNDER,4.126940727233887,-116.0,True,86.20689655172413,-0.0,True
2,2025-10-22,Trae Young,Atlanta Hawks,22,25.23830223083496,24.5,24.5,0.0,OVER,0.7383022308349609,-112.0,False,-100.0,0.0,True
2,2025-10-22,Desmond Bane,Orlando Magic,23,16.978145599365234,17.5,17.5,0.0,UNDER,0.5218544006347656,-119.0,False,-100.0,-0.0,True
2,2025-10-22,Norman Powell,Miami Heat,28,14.056571960449219,19.5,18.5,-1.0,UNDER,5.443428039550781,-116.0,False,-100.0,1.0,True
2,2025-10-22,Kelly Oubre Jr.,Philadelphia 76ers,10,13.48364543914795,11.5,11.5,0.0,OVER,1.9836454391479492,-125.0,False,-100.0,0.0,True
2,2025-10-22,Miles Bridges,Charlotte Hornets,18,16.10176658630371,18.5,18.5,0.0,UNDER,2.398233413696289,-121.0,True,82.64462809917356,-0.0,True
2,2025-10-22,Evan Mobley,Cleveland Cavaliers,22,16.558788299560547,18.5,19.5,1.0,UNDER,1.9412117004394531,-121.0,False,-100.0,-1.0,True
2,2025-10-22,Terance Mann,Brooklyn Nets,13,7.123928546905518,7.5,7.5,0.0,UNDER,0.3760714530944824,-114.0,False,-100.0,-0.0,True
2,2025-10-22,Jaime Jaquez Jr.,Miami Heat,13,5.671514511108398,,7.5,,UNDER,1.8284854888916016,-128.0,False,-100.0,,False
2,2025-10-22,Jalen Brunson,New York Knicks,23,22.059091567993164,27.5,23.5,-4.0,UNDER,5.440908432006836,-117.0,True,85.47008547008546,4.0,True
2,2025-10-22,Jarrett Allen,Cleveland Cavaliers,4,7.112025260925293,13.5,12.5,-1.0,UNDER,6.387974739074707,-129.0,True,77.51937984496125,1.0,True
2,2025-10-22,Donovan Mitchell,Cleveland Cavaliers,31,21.32181739807129,27.5,27.5,0.0,UNDER,6.178182601928711,-107.0,False,-100.0,-0.0,True
2,2025-10-22,Lonzo Ball,Cleveland Cavaliers,3,5.541049957275391,7.5,7.5,0.0,UNDER,1.9589500427246094,-105.0,True,95.23809523809523,-0.0,True
2,2025-10-22,Miles McBride,New York Knicks,15,9.933184623718262,7.5,7.5,0.0,OVER,2.4331846237182617,-131.0,True,76.33587786259542,0.0,True
2,2025-10-22,Dyson Daniels,Atlanta Hawks,4,13.191744804382324,11.5,12.5,1.0,OVER,1.6917448043823242,-126.0,False,-100.0,1.0,True
2,2025-10-22,Day'Ron Sharpe,Brooklyn Nets,14,5.588279724121094,7.5,7.5,0.0,UNDER,1.9117202758789062,-117.0,False,-100.0,-0.0,True
2,2025-10-22,Andrew Wiggins,Miami Heat,18,13.787552833557129,16.5,16.5,0.0,UNDER,2.712447166442871,-104.0,False,-100.0,-0.0,True
2,2025-10-22,Sam Hauser,Boston Celtics,8,9.196694374084473,9.5,9.5,0.0,UNDER,0.30330562591552734,-118.0,True,84.7457627118644,-0.0,True
2,2025-10-22,Payton Pritchard,Boston Celtics,16,11.153097152709961,16.5,16.5,0.0,UNDER,5.346902847290039,-111.0,True,90.09009009009009,-0.0,True
